recipe_urls,recipe_title,ingredients,ingredients_parsed
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/magnolia-blossom-pickle/,Magnolia blossom pickle,"['100 g magnolia blossom leaves (roughly 6 heads)', '350 ml rice wine vinegar', '50 g golden caster sugar']",magnolia blossom rice wine golden caster sugar
https://www.jamieoliver.com/recipes/pasta-recipes/tortelli-al-magro/,Tortelli al magro,"['FOR THE PASTA DOUGH', '', '200 g (7oz) plain flour , keep some aside for dusting', '2 eggs', 'FOR THE FILLING', '', '400 g (14oz) frozen spinach , defrosted', '100 g (3½oz) fresh ricotta , drained', '25 g (1oz) grated Parmesan cheese or vegetarian hard cheese , plus extra to serve (10g)', 'FOR THE SAUCE', '', '100 g (3½oz) salted butter', '8 sage leaves , leaves picked (10g)']",pasta dough flour keep some aside egg filling spinach defrosted ricotta parmesan cheese vegetarian hard cheese salted butter
https://www.jamieoliver.com/recipes/vegetable-recipes/aromatic-veg-broth/,Aromatic veg broth,"['200 g vermicelli rice noodles', '2 vegetable stock cubes', '½ teaspoon Chinese five-spice', '4 cm piece of ginger', 'a few sprigs of coriander', '½ a bunch of spring onions', '1 red chilli', '1 carrot', '100 g small button mushrooms', '½ a sweetheart cabbage', '100 g frozen peas', '2 teaspoons white miso paste', '1 lime']",vermicelli rice noodle vegetable stock chinese five onion carrot button mushroom sweetheart cabbage pea miso paste lime
https://www.jamieoliver.com/recipes/vegetable-recipes/veggie-toad-in-the-hole/,Veggie toad-in-the-hole,"['4 red onions', '800 g carrots', 'olive oil', '165 g plain flour', '150 ml semi-skimmed milk', '4 large eggs', '½ a bunch of sage (10g)', '4 thick slices of bread (200g)', 'red wine vinegar', '1 teaspoon berry jam, such as strawberry, blackberry or redcurrant jelly', '1 teaspoon yeast extract', '1 vegetable stock cube', '½ a Savoy cabbage', '200 g frozen peas']",onion carrot flour semi skimmed milk egg bread wine berry blackberry redcurrant jelly yeast vegetable stock savoy cabbage pea
https://www.jamieoliver.com/recipes/vegetable-recipes/giant-veggie-puff-roll/,Giant veggie puff roll,"['2 cloves of garlic', '3 onions', 'olive oil', '600 g carrots', '1 heaped teaspoon mixed spice', '1 x 400g tin of butter beans', '100 g feta cheese', '1 x 375 g pack of ready-rolled puff pastry', '1 large splash of semi-skimmed milk', '1 little gem lettuce', 'red wine vinegar']",garlic onion carrot butter bean feta cheese pack ready rolled puff pastry semi skimmed milk gem lettuce wine
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-potato-chilli/,Sweet potato chilli,"['6 sweet potatoes (250g each)', 'olive oil', '1 teaspoon cumin seeds', '1 x 95 g jar of chipotle chilli paste', '500 g fresh or frozen chopped mixed onion, carrot & celery', '½ a bunch of coriander (15g) , (15g)', '3 x 400 g tins of black beans', '3 x 400 g tins of plum tomatoes', '60 g feta cheese']",potato chipotle paste carrot celery bean plum tomato feta cheese
https://www.jamieoliver.com/recipes/fruit-recipes/super-green-smoothie/,Super green smoothie,"['1 ripe banana', '1 apple', '80 g baby spinach', '60 g porridge oats', '300 ml semi-skimmed milk', '2 tablespoons almond butter , or peanut butter', '1 handful of ice cubes']",banana apple spinach porridge oat semi skimmed milk butter peanut butter ice
https://www.jamieoliver.com/recipes/vegetable-recipes/asparagus-stir-fry/,Asparagus stir-fry,"['350 g firm tofu', '2 teaspoons groundnut oil', '2 tablespoons sesame seeds', '½ tablespoon cornflour', '2 tablespoons soy sauce', '1 tablespoon white wine vinegar', '1 clove of garlic', '1 fresh red chilli , plus extra to serve', '5 cm piece of ginger', '320 g asparagus', '150 g beansprouts', '200 g rice noodles , to serve (optional)']",tofu sesame cornflour soy wine garlic asparagus beansprouts rice noodle
https://www.jamieoliver.com/recipes/fruit-recipes/raw-vegan-flapjack-snacks/,Raw vegan flapjack snacks,"['100 g unsalted pecans', '100 g unsalted hazelnuts', '20 g mixed seeds , such as linseeds, chia', '180 g Medjool dates', '100 g mixed dried berries , such as blueberries, cranberries, sour cherries', '200 g porridge oats', '2 tablespoons oil , (I like walnut oil)', '1-2 tablespoons maple syrup']",pecan hazelnut chia medjool date berry porridge oat like walnut maple syrup
https://www.jamieoliver.com/recipes/pancake-recipes/crispy-rice-pancakes/,Crispy rice pancakes,"['½ x 7 g sachet of yeast', '125 g rice flour', 'olive oil', '1 heaped teaspoon jalfrezi curry paste', '½–1 fresh red chilli', '1 bunch of spring onions', '½ x 660 g jar of chickpeas', '100 g baby spinach', '4 cm piece of ginger', '2 ripe tomatoes', '1 lime', '2 tablespoons unsweetened desiccated coconut flakes', '½ a bunch of fresh coriander , (15g)', '4 large free-range eggs', '4 heaped tablespoons natural yoghurt']",sachet yeast rice flour jalfrezi curry paste onion chickpea spinach tomato lime desiccated coconut egg yoghurt
https://www.jamieoliver.com/recipes/vegetable-recipes/super-leek-potato-soup/,Super leek & potato soup,"['400 g leeks', 'olive oil', '400 g potatoes', '1.5 litres organic veg , or chicken stock', '320 g kale', '½ a bunch of fresh mint , (15g)', '½ a bunch of fresh flat-leaf parsley , (15g)', '40 g Parmesan cheese', '25 g whole almonds', '1 tablespoon white wine vinegar', 'extra virgin olive oil', '4 small slices of wholemeal bread , (35g each)']",leek potato veg chicken stock kale parmesan cheese wine wholemeal bread
https://www.jamieoliver.com/recipes/vegetable-recipes/super-salad-platter/,Super salad platter,"['1 teaspoon cumin seeds', '2 small sweet potatoes , (200g each)', '350 g broccoli', 'olive oil', '25 g cashew nuts', '25 g mixed pumpkin, sunflower and sesame seeds', '250 g vac-packed beetroot', '2 tablespoons balsamic vinegar', 'extra virgin olive oil', '300 g quinoa', '1 bunch of fresh mint , (30g)', '1 lemon', '1 ripe avocado', '6 tablespoons natural yoghurt', '1 punnet of cress']",potato broccoli cashew sunflower sesame vac beetroot quinoa lemon avocado yoghurt cress
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,Sweet & sour stir-fry,"['100 g fine rice noodles', '1 x 227 g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30 g cashew nuts', '4 spring onions', '2 cloves of garlic', '2 cm piece of ginger', '1 fresh red chilli', '200 g sugarsnap peas', 'groundnut oil', '200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']",rice noodle pineapple cornflour soy sesame cashew onion garlic sugarsnap pea sprout alfalfa chickpea beansprouts lime
https://www.jamieoliver.com/recipes/vegetable-recipes/mexican-style-roasted-veg-ragu/,Mexican-style roasted veg ragù,"['2 sweet potatoes', '300 g butternut squash or pumpkin', '2 carrots', '150 g frozen sweetcorn', '1 tablespoon coriander seeds', '½ tablespoon dried oregano', 'olive oil', '2 onions', '2 cloves of garlic', '1 fresh red chilli', '1 green pepper', '2 sticks of celery', '2 x 400 g tins of black beans', '1 x 400 g tin of quality plum tomatoes', '1 bunch of fresh mint , (30g)', '8 spring onions', '4 limes', '1-2 teaspoons chipotle Tabasco sauce', '300 g brown rice']",potato butternut squash pumpkin carrot sweetcorn onion garlic celery bean plum tomato onion lime chipotle tabasco rice
https://www.jamieoliver.com/recipes/avocado-recipes/avocado-and-broccoli-tacos/,Griddled avocado & broccoli tacos,"['50 g pumpkin seeds', '1 head of broccoli', 'olive oil', '3 ripe avocados', 'ground cayenne pepper', '16 tacos', 'DRESSING', '1 large bunch of fresh coriander , (60g)', '250 g ricotta cheese', '1 splash of milk', '1 clove of garlic']",pumpkin broccoli avocado taco ricotta cheese milk garlic
https://www.jamieoliver.com/recipes/fruit-recipes/perfect-poached-rhubarb/,Perfect poached rhubarb,"['2 kg rhubarb', '5 cm piece of ginger', '300 g sugar', '1 bunch of fresh thyme , (20g) optional']",rhubarb sugar
https://www.jamieoliver.com/recipes/vegetable-recipes/jacket-spuds-and-homemade-beans/,Jacket spuds & homemade beans,"['4 large Maris Piper potatoes', 'olive oil', '1 red pepper', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 heaped teaspoon smoked paprika', '2 x 400 g tins of cannellini beans', '1 x 400 g tin of plum tomatoes', '80 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil , optional']",mari piper potato onion broccoli cannellini bean plum tomato cheddar cheese bag spinach
https://www.jamieoliver.com/recipes/pasta-recipes/rocket-and-pistachio-pesto-pasta/,Rocket & pistachio pesto pasta,"['80 g wild rocket', '½ a clove of garlic', '50 g shelled unsalted pistachios', 'olive oil', '25 g Parmesan cheese , plus extra to serve', '1 lemon', '320 g asparagus', '300 g dried linguine']",garlic pistachio parmesan cheese lemon asparagus linguine
https://www.jamieoliver.com/recipes/vegetable-recipes/potato-pepper-and-broccoli-frittata/,"Potato, pepper & broccoli frittata","['600 g Maris Piper potatoes', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 red pepper', '1 teaspoon smoked paprika', '8 large eggs', '40 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']",mari piper potato onion broccoli egg cheddar cheese bag spinach
https://www.jamieoliver.com/recipes/vegetables-recipes/my-veggie-black-bean-enchiladas/,My veggie black bean enchiladas,"['2 red peppers', '2 fresh red chillies', '8 spring onions', '400 g ripe tomatoes', '2 cloves of garlic', 'olive oil', '1 bunch of fresh coriander , (30g)', '2 limes', '2 x 400 g tins of black beans', 'chipotle chilli sauce', '50 g feta cheese', '8 corn or flour tortillas', '2 large or 4 small corn on the cob', 'extra virgin olive oil', 'natural yoghurt or soured cream , to serve']",onion tomato garlic lime bean chipotle feta cheese flour tortilla cob yoghurt soured cream
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-veg-patties/,Smoky veg patties,"['1 head of broccoli', '1 bunch of spring onions', '600 g Maris Piper potatoes', 'olive oil', '1 red pepper', 'red wine vinegar', '1 x 400 g tin of cannellini beans', '60 g Cheddar cheese', '½ teaspoon smoked paprika', '4 large eggs', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']",broccoli onion mari piper potato wine cannellini bean cheddar cheese egg bag spinach
https://www.jamieoliver.com/recipes/vegetable-recipes/5-a-day-spiced-veg-stew/,5-a-day spiced veg stew,"['1 sweet potato , (300g)', '1 aubergine , (250g)', '2 mixed-colour peppers', '2 onions', 'olive oil', '½ a bunch of fresh coriander , (15g)', '30 g sun-dried tomatoes', '2 tablespoons Thai curry paste , (choose your favourite)', '½ x 400 g tin of light coconut milk', '160 g mangetout', '2 teaspoons soy or fish sauce', '1 lime', '2 flatbreads , optional']",potato aubergine onion tomato curry paste coconut milk mangetout soy fish lime flatbread
https://www.jamieoliver.com/recipes/fruit-recipes/rhubarb-and-custard-tart/,Rhubarb & custard tart,"['PASTRY & TOPPING', '500 g plain flour', '100 g icing sugar , plus 1 teaspoon', '250 g unsalted butter , (cold)', '3 large free-range eggs', '4 tablespoons whole milk', '1 teaspoon vanilla bean paste', 'vegetable oil , for greasing', '50 g flaked almonds', 'FILLING', '1 kg rhubarb', '500 g mixed eating apples', '160 g golden caster sugar', '500 ml whole milk', '3 level tablespoons custard powder', '2 teaspoons vanilla bean paste']",pastry topping flour icing sugar butter egg milk bean paste vegetable greasing flaked filling rhubarb eating apple golden caster sugar milk custard bean paste
https://www.jamieoliver.com/recipes/vegetable-recipes/super-silky-houmous/,Super-silky houmous,"['1 x 700 g jar of chickpeas', '½ a clove of garlic', 'ground cumin', 'extra virgin olive oil', '2 tablespoons tahini', '1 lemon']",chickpea garlic tahini lemon
https://www.jamieoliver.com/recipes/pasta-recipes/one-pan-veggie-lasagne/,One-pan veggie lasagne,"['1 leek', '50 g unsalted butter', 'olive oil', '500 g asparagus', '50 g plain flour', '2 teaspoons English mustard', '800 ml semi-skimmed milk', '300 g fresh or frozen peas', '300 g fresh or frozen broad beans', '½ a bunch of fresh mint , (15g)', '80 g Parmesan cheese , plus extra to serve', '80 g mature Cheddar cheese', '250 g fresh lasagne sheets', '50 g blanched almonds', '1 lemon , optional', 'green pesto , optional']",leek butter asparagus flour semi skimmed milk pea broad bean parmesan cheese mature cheddar cheese lasagne sheet blanched lemon pesto
https://www.jamieoliver.com/recipes/pizza-recipes/wholemeal-crust-pizza-rossa/,Wholemeal-crust pizza rossa,"['400 g strong white bread flour , plus extra for dusting', '100 g plain wholemeal flour', '1 x 7 g sachet of dried yeast', 'olive oil', '2 cloves of garlic', '1 fresh red chilli', '1 x 400 g tin of quality plum tomatoes', '1 bunch of fresh basil , (30g)', '300 g asparagus', '30 g Parmesan cheese', '200 g rocket', 'extra virgin olive oil', '1 lemon', 'balsamic vinegar']",strong bread flour wholemeal flour sachet yeast garlic plum tomato asparagus parmesan cheese lemon
https://www.jamieoliver.com/recipes/pancake-recipes/gluten-free-one-cup-pancakes/,Gluten-free one-cup pancakes,"['1 large free-range egg', '1 heaped cup of gluten-free self-raising flour , (250g)', '1 cup of milk , (300ml)', 'olive oil']",egg gluten self raising flour milk
https://www.jamieoliver.com/recipes/vegetable-recipes/spinach-feta-and-lemon-filo-pie/,"Spinach, feta & lemon filo pie","['1 kg frozen spinach', '2 onions', '2 cloves of garlic', 'olive oil', '1 whole nutmeg , for grating', '1 lemon', '100 g feta cheese', '½ a bunch of fresh flat-leaf parsley , (15g)', '½ a bunch of fresh dill , (15g)', '200 g natural yoghurt', '4 large free-range eggs', '1 x 275 g pack filo pastry', '10 g Cheddar cheese']",spinach onion garlic lemon feta cheese yoghurt egg pack filo pastry cheddar cheese
https://www.jamieoliver.com/recipes/mushroom-recipes/gnarly-oven-baked-mushrooms/,Gnarly oven-baked mushrooms,"['8 portobello mushrooms', 'olive oil', '1 lemon', '300 g wholewheat couscous', '3 sprigs of fresh mint', '2 cloves of garlic', '3 sprigs of fresh rosemary', '2 tablespoons baby capers', '2 x 400 g tins of quality cherry tomatoes', '80 g halloumi cheese', '40 g unsalted pistachios']",portobello mushroom lemon wholewheat couscous garlic tomato halloumi cheese pistachio
https://www.jamieoliver.com/recipes/cauliflower-recipes/whole-roasted-spiced-cauli/,Whole roasted spiced cauli,"['½ a bunch of fresh coriander , (15g)', '400 g chopped mixed onion, carrot and celery', 'olive oil', '1 small cauliflower , (600g)', '2 teaspoons smoked paprika', '2 heaped teaspoons madras curry paste', '2 x 400 g tin of green lentils', '2 x 400 g tin of blackeye beans', '3 tablespoons mango chutney , plus extra to serve']",carrot celery cauliflower madras curry paste lentil blackeye bean mango chutney
